MEDIA;;;;;;;;"
                Reporte Monitoreo 2022-08-23            ";;;;
RAIN;TEMPERATURA;RH;DEW POINT;WIND SPEED;GUST SPEED;WIND DIRECTION;;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%)
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;38;PL004;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;39;PL004;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;40;PL004;10;1;100
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;41;PL005;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;42;PL005;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;43;PL005;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;44;PL005;4;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;45;PL005;5;1;80
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;46;PL005;6;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;47;PL005;7;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;48;PL005;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;49;PL005;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;50;PL005;10;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;51;PL006;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;52;PL006;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;53;PL006;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;54;PL006;4;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;55;PL006;5;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;56;PL006;6;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;57;PL006;7;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;58;PL006;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;59;PL006;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;60;PL006;10;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;61;PL007;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;62;PL007;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;63;PL007;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;64;PL007;4;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;65;PL007;5;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;66;PL007;6;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;67;PL007;7;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;68;PL007;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;69;PL007;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;70;PL007;10;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;71;PL008;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;72;PL008;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;73;PL008;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;74;PL008;4;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;75;PL008;5;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;76;PL008;6;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;77;PL008;7;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;78;PL008;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;79;PL008;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;80;PL008;10;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;81;PL009;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;82;PL009;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;83;PL009;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;84;PL009;4;1;100
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;85;PL009;5;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;86;PL009;6;1;75
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;87;PL009;7;1;30
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;88;PL009;8;1;100
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;89;PL009;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;90;PL009;10;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;91;PL010;1;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;92;PL010;2;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;93;PL010;3;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;94;PL010;4;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;95;PL010;5;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;96;PL010;6;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;97;PL010;7;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;98;PL010;8;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;99;PL010;9;0;0
0;23,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;;100;PL010;10;0;0
