MEDIA;;;;;;;;"
                Reporte Monitoreo 2022-08-15            ";;;;
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;47;PL005;7;1;60
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;48;PL005;8;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;49;PL005;9;1;70
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;50;PL005;10;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;51;PL006;1;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;52;PL006;2;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;53;PL006;3;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;54;PL006;4;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;55;PL006;5;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;56;PL006;6;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;57;PL006;7;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;58;PL006;8;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;59;PL006;9;1;40
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;60;PL006;10;1;30
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;61;PL007;1;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;62;PL007;2;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;63;PL007;3;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;64;PL007;4;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;65;PL007;5;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;66;PL007;6;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;67;PL007;7;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;68;PL007;8;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;69;PL007;9;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;70;PL007;10;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;71;PL008;1;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;72;PL008;2;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;73;PL008;3;1;50
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;74;PL008;4;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;75;PL008;5;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;76;PL008;6;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;77;PL008;7;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;78;PL008;8;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;79;PL008;9;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;80;PL008;10;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;81;PL009;1;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;82;PL009;2;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;83;PL009;3;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;84;PL009;4;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;85;PL009;5;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;86;PL009;6;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;87;PL009;7;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;88;PL009;8;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;89;PL009;9;1;40
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;90;PL009;10;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;91;PL010;1;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;92;PL010;2;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;93;PL010;3;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;94;PL010;4;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;95;PL010;5;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;96;PL010;6;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;97;PL010;7;0;0
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;98;PL010;8;1;65
0;31,09781481;60,00900926;22,14948148;0,101851852;1,166666667;102,8240741;;99;PL010;9;0;0
;;;;;;;;100;PL010;10;0;0
